,base_0225,base_0225_inf,base_md_njwp_0401.yaml,base_md_njwp_0401_inf.yaml
2025-2030,1.6295890410958904,0.0,1.8947945205479453,0.0
2030-2035,2.5753424657534247,0.0,1.5267123287671232,0.0
2035-2040,0.4438356164383562,0.0,0.4438356164383562,0.0
