,time,ahts_vessel:example_ahts_vessel,feeder:example_heavy_feeder_1kit,feeder:example_feeder,towing_vessel:example_towing_vessel,wtiv:example_heavy_lift_vessel,wtiv:example_wtiv,wtiv:example_wtiv_us,port:new_london,port:new_bedford,port:sbmt,port:njwp,port:searsport,port:tradepoint,port:portsmouth,port:salem,port:arthur_kill
0,2023-01-01 00:00:00.000000,4,4,3,10,2,0,1,0,1,0,0,0,0,0,0,0
1,2023-01-01 00:00:00.000000,4,4,3,10,2,0,1,0,1,0,0,0,0,0,0,0
2,2023-01-16 05:00:00.000000,4,4,3,10,2,0,1,0,1,0,0,0,0,1,0,0
3,2023-01-31 11:00:00.000000,4,4,3,10,2,0,1,0,1,0,1,0,0,1,0,0
4,2023-01-31 11:00:00.000000,4,4,3,10,2,0,1,0,1,0,1,0,1,1,0,0
5,2023-02-15 16:00:00.000000,4,4,3,10,2,0,1,0,1,0,1,0,1,1,1,0
6,2023-03-02 21:00:00.000000,4,4,3,10,2,0,1,0,1,0,1,0,1,1,1,1
7,2023-03-02 21:00:00.000000,4,4,3,10,2,0,1,0,1,1,1,0,1,1,1,1
8,2023-04-17 13:00:00.000000,4,4,3,10,2,0,1,0,1,1,1,1,1,1,1,1
9,2023-04-17 13:00:00.000000,4,4,3,10,1,0,1,0,1,1,1,1,1,1,1,1
10,2023-05-16 10:05:17.842167,4,4,3,10,2,0,1,0,1,1,1,1,1,1,1,1
11,2023-05-16 10:05:17.842167,4,3,2,10,1,0,1,0,0,1,1,1,1,1,1,1
12,2023-05-16 10:05:17.842167,4,3,3,10,1,0,1,0,0,1,1,1,1,1,1,1
13,2023-05-16 10:05:17.842167,4,3,3,10,1,0,1,0,0,1,1,1,1,1,1,1
14,2023-08-14 10:05:17.842167,4,3,3,10,1,0,1,1,0,1,1,1,1,1,1,1
15,2023-08-27 08:45:31.793115,4,3,3,10,2,0,1,1,0,1,1,1,1,1,1,1
16,2023-08-27 08:45:31.793115,4,4,3,10,2,0,1,1,0,1,1,1,1,1,1,1
17,2023-08-27 08:45:31.793115,4,4,3,10,2,1,1,1,0,1,1,1,1,1,1,1
18,2023-08-27 08:45:31.793115,4,4,4,10,2,1,1,1,0,1,1,1,1,1,1,1
19,2023-08-27 08:45:31.793115,4,4,4,10,2,1,1,1,0,1,1,1,1,1,1,1
20,2023-08-27 08:45:31.793115,4,4,4,10,2,1,1,1,0,1,1,1,1,1,1,1
21,2023-11-25 08:45:31.793115,4,4,4,10,2,1,1,1,1,1,1,1,1,1,1,1
22,2024-01-01 00:00:00.000000,4,4,3,10,1,0,1,0,1,1,1,1,1,1,1,1
23,2024-08-03 09:00:47.453399,4,4,3,10,2,0,1,0,1,1,1,1,1,1,1,1
24,2024-08-03 09:00:47.453399,4,4,3,10,2,1,1,0,1,1,1,1,1,1,1,1
25,2024-08-03 09:00:47.453399,4,4,4,10,2,1,1,0,1,1,1,1,1,1,1,1
26,2024-08-03 09:00:47.453399,4,4,4,10,2,1,1,0,1,1,1,1,1,1,1,1
27,2024-11-01 09:00:47.453399,4,4,4,10,2,1,1,1,1,1,1,1,1,1,1,1
28,2026-01-01 00:00:00.000000,4,4,3,10,1,0,1,1,1,1,0,1,1,1,1,1
29,2026-01-01 00:00:00.000000,4,4,3,10,0,0,0,1,1,1,0,1,1,0,1,1
30,2026-01-01 00:00:00.000000,4,4,3,10,0,0,0,1,1,1,0,1,1,0,1,1
31,2026-10-29 16:48:03.732228,4,4,3,10,1,0,0,1,1,1,0,1,1,0,1,1
32,2026-10-29 16:48:03.732228,4,3,2,10,0,0,0,1,1,1,0,1,0,0,1,1
33,2026-10-29 16:48:03.732228,4,3,3,10,0,0,0,1,1,1,0,1,0,0,1,1
34,2026-10-29 16:48:03.732228,4,3,3,10,0,0,0,1,1,1,0,1,0,0,1,1
35,2026-12-02 16:51:44.781599,4,3,3,10,1,0,0,1,1,1,0,1,0,0,1,1
36,2026-12-02 16:51:44.781599,4,4,3,10,1,0,0,1,1,1,0,1,0,0,1,1
37,2026-12-15 19:24:03.405686,4,4,3,10,1,1,0,1,1,1,0,1,0,0,1,1
38,2026-12-15 19:24:03.405686,4,4,4,10,1,1,0,1,1,1,0,1,0,0,1,1
39,2026-12-15 19:24:03.405686,4,4,4,10,1,1,0,1,1,1,0,1,0,0,1,1
40,2026-12-15 19:24:03.405686,4,4,4,10,1,1,0,1,1,1,0,1,0,0,1,1
41,2027-01-01 00:00:00.000000,4,3,3,10,0,0,0,1,1,0,0,1,0,0,1,1
42,2027-01-01 00:00:00.000000,4,3,3,10,0,0,0,1,1,0,0,1,0,0,1,1
43,2027-01-27 16:48:03.732228,4,3,3,10,0,0,0,1,1,0,1,1,0,0,1,1
44,2027-03-15 19:24:03.405686,4,3,3,10,0,0,0,1,1,0,1,1,1,0,1,1
45,2027-07-27 11:34:10.764759,4,3,3,10,1,0,0,1,1,0,1,1,1,0,1,1
46,2027-07-27 11:34:10.764759,4,4,3,10,1,0,0,1,1,0,1,1,1,0,1,1
47,2027-07-27 11:34:10.764759,4,3,2,10,0,0,0,1,1,0,1,1,0,0,1,1
48,2027-07-27 11:34:10.764759,4,3,3,10,0,0,0,1,1,0,1,1,0,0,1,1
49,2027-07-27 11:34:10.764759,4,3,3,10,0,0,0,1,1,0,1,1,0,0,1,1
50,2027-07-27 11:34:10.764759,4,3,3,10,0,0,0,1,1,0,1,1,0,0,1,1
51,2027-10-25 11:34:10.764759,4,3,3,10,0,0,0,1,1,1,1,1,0,0,1,1
52,2027-11-08 15:48:20.624841,4,3,3,10,1,0,0,1,1,1,1,1,0,0,1,1
53,2027-11-08 15:48:20.624841,4,4,3,10,1,0,0,1,1,1,1,1,0,0,1,1
54,2027-11-16 20:54:32.282055,4,4,3,10,1,1,0,1,1,1,1,1,0,0,1,1
55,2027-11-16 20:54:32.282055,4,4,4,10,1,1,0,1,1,1,1,1,0,0,1,1
56,2027-11-16 20:54:32.282055,4,4,4,10,1,1,0,1,1,1,1,1,0,0,1,1
57,2027-11-16 20:54:32.282055,4,4,4,10,1,1,0,1,1,1,1,1,0,0,1,1
58,2027-12-08 18:57:29.261982,4,4,4,10,2,1,0,1,1,1,1,1,0,0,1,1
59,2027-12-08 18:57:29.261982,4,4,4,10,2,1,1,1,1,1,1,1,0,0,1,1
60,2027-12-08 18:57:29.261982,4,4,4,10,2,1,1,1,1,1,1,1,0,0,1,1
61,2028-01-01 00:00:00.000000,4,4,4,10,1,1,0,0,1,1,1,1,0,0,1,1
62,2028-01-01 00:00:00.000000,3,4,4,9,1,1,0,0,1,1,1,0,0,0,1,1
63,2028-02-14 20:54:32.282055,3,4,4,9,1,1,0,0,1,1,1,0,1,0,1,1
64,2028-03-07 18:57:29.261982,3,4,4,9,1,1,0,0,1,1,1,0,1,1,1,1
65,2028-04-21 11:00:32.592724,4,4,4,9,1,1,0,0,1,1,1,0,1,1,1,1
66,2028-04-21 11:00:32.592724,4,4,4,10,1,1,0,0,1,1,1,0,1,1,1,1
67,2028-07-20 11:00:32.592724,4,4,4,10,1,1,0,0,1,1,1,1,1,1,1,1
68,2029-01-01 00:00:00.000000,4,4,3,10,0,0,0,0,1,1,1,1,1,0,1,1
69,2029-01-01 00:00:00.000000,4,4,3,10,0,0,0,0,1,1,1,1,1,0,1,1
70,2029-01-01 00:00:00.000000,4,4,3,10,0,0,0,0,1,1,1,1,1,0,1,1
71,2029-01-01 00:00:00.000000,4,4,3,10,0,0,0,0,1,1,1,1,1,0,1,1
72,2029-01-01 00:00:00.000000,4,4,3,10,0,0,0,0,1,1,1,1,1,0,1,1
73,2029-05-11 17:15:43.201400,4,4,3,10,1,0,0,0,1,1,1,1,1,0,1,1
74,2029-05-11 17:15:43.201400,4,4,3,10,1,0,1,0,1,1,1,1,1,0,1,1
75,2029-05-11 17:15:43.201400,4,4,3,10,1,0,1,0,1,1,1,1,1,0,1,1
76,2029-08-09 17:15:43.201400,4,4,3,10,1,0,1,1,1,1,1,1,1,0,1,1
77,2029-08-20 14:24:03.598925,4,4,3,10,2,0,1,1,1,1,1,1,1,0,1,1
78,2029-08-20 14:24:03.598925,4,3,2,10,1,0,1,1,1,1,1,1,0,0,1,1
79,2029-08-20 14:24:03.598925,4,3,3,10,1,0,1,1,1,1,1,1,0,0,1,1
80,2029-08-20 14:24:03.598925,4,3,3,10,1,0,1,1,1,1,1,1,0,0,1,1
81,2029-11-18 14:24:03.598925,4,3,3,10,1,0,1,1,1,1,1,1,0,1,1,1
82,2029-12-09 08:40:17.095256,4,3,3,10,2,0,1,1,1,1,1,1,0,1,1,1
83,2029-12-09 08:40:17.095256,4,4,3,10,2,0,1,1,1,1,1,1,0,1,1,1
84,2029-12-19 12:30:28.688942,4,3,2,10,1,0,1,1,0,1,1,1,0,1,1,1
85,2029-12-19 12:30:28.688942,4,3,3,10,1,0,1,1,0,1,1,1,0,1,1,1
86,2029-12-19 12:30:28.688942,4,3,3,10,1,0,1,1,0,1,1,1,0,1,1,1
87,2029-12-19 12:30:28.688942,4,3,3,10,1,0,1,1,0,1,1,1,0,1,1,1
88,2030-01-01 00:00:00.000000,3,3,3,9,1,0,1,1,0,1,1,1,0,1,0,1
89,2030-01-01 00:00:00.000000,3,3,3,9,0,0,0,1,0,1,1,1,0,1,0,0
90,2030-01-01 00:00:00.000000,3,3,3,9,0,0,0,1,0,1,1,1,0,1,0,0
91,2030-01-01 00:00:00.000000,3,3,3,9,0,0,0,1,0,1,1,1,0,1,0,0
92,2030-01-01 00:00:00.000000,3,3,3,9,0,0,0,1,0,1,1,1,0,1,0,0
93,2030-03-19 12:30:28.688942,3,3,3,9,0,0,0,1,0,1,1,1,1,1,0,0
94,2030-10-16 04:52:46.697673,3,3,3,9,1,0,0,1,0,1,1,1,1,1,0,0
95,2030-10-16 04:52:46.697673,3,4,3,9,1,0,0,1,0,1,1,1,1,1,0,0
96,2030-10-16 11:58:40.741062,3,4,2,9,0,0,0,1,0,1,0,1,1,1,0,0
97,2030-10-16 11:58:40.741062,3,4,3,9,0,0,0,1,0,1,0,1,1,1,0,0
98,2030-10-16 11:58:40.741062,3,4,3,9,0,0,0,1,0,1,0,1,1,1,0,0
99,2030-10-16 11:58:40.741062,3,4,3,9,0,0,0,1,0,1,0,1,1,1,0,0
100,2031-01-01 00:00:00.000000,3,4,3,9,0,0,0,1,0,1,0,1,1,1,0,0
101,2031-01-01 00:00:00.000000,3,4,3,9,0,0,0,1,0,1,0,1,1,1,0,0
102,2031-01-01 00:00:00.000000,3,4,3,9,0,0,0,1,0,1,0,1,1,1,0,0
103,2031-01-01 00:00:00.000000,3,4,3,9,0,0,0,1,0,1,0,1,1,1,0,0
104,2031-01-01 00:00:00.000000,3,4,3,9,0,0,0,1,0,1,0,1,1,1,0,0
105,2031-01-01 00:00:00.000000,3,4,3,9,0,0,0,1,0,1,0,1,1,1,0,0
106,2031-01-01 00:00:00.000000,3,4,3,9,0,0,0,1,0,1,0,1,1,1,0,0
107,2031-01-01 00:00:00.000000,3,4,3,9,0,0,0,1,0,1,0,1,1,1,0,0
108,2031-01-14 11:58:40.741062,3,4,3,9,0,0,0,1,1,1,0,1,1,1,0,0
109,2031-01-26 08:56:01.173577,4,4,3,9,0,0,0,1,1,1,0,1,1,1,0,0
